ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,4600707AF7,2,0,0,Cascade,Cascade,0.000,9.426854,45.874261,9.426854,45.874261 
2,4600707D6C,3,0,1,Cascade,Cascade,0.000,9.426854,45.874261,9.426854,45.874261 
3,4600707D6C,3,1,4,Cascade,Cascade,37.230,9.426854,45.874261,9.426572,45.874075 
4,4600707D6C,3,4,5,Cascade,Bars_sedimentbuildupzones,3.744,9.426572,45.874075,9.426606,45.874078 
5,4600707D6C,3,5,6,Bars_sedimentbuildupzones,Cascade,3.744,9.426606,45.874078,9.426572,45.874075 
6,4600707D6C,3,6,7,Cascade,Bars_sedimentbuildupzones,2.936,9.426572,45.874075,9.426598,45.874078 
7,4600707D6C,3,7,7,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426598,45.874078,9.426598,45.874078 
8,460070881E,4,0,1,Cascade,Cascade,3.384,9.426570,45.874075,9.426592,45.874095 
9,460070881E,4,1,2,Cascade,Cascade,3.202,9.426592,45.874095,9.426572,45.874075 
10,460070881E,4,2,3,Cascade,Cascade,4.014,9.426572,45.874075,9.426598,45.874100 
11,460070881E,4,3,4,Cascade,Cascade,4.014,9.426598,45.874100,9.426572,45.874075 
12,460070881E,4,4,5,Cascade,Cascade,2.670,9.426572,45.874075,9.426591,45.874090 
13,460070881E,4,5,6,Cascade,Bars_sedimentbuildupzones,1.978,9.426591,45.874090,9.426594,45.874072 
14,460070881E,4,6,7,Bars_sedimentbuildupzones,Cascade,2.649,9.426594,45.874072,9.426570,45.874075 
15,460070881E,4,7,11,Cascade,Cascade,2.982,9.426570,45.874075,9.426581,45.874099 
16,460070881E,4,11,13,Cascade,Bars_sedimentbuildupzones,3.577,9.426581,45.874099,9.426606,45.874078 
17,460070881E,4,13,14,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426606,45.874078,9.426606,45.874078 
