ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,010A513C3A,1,16,16,Run_rapid,Run_rapid,0.000,9.426579,45.874055,9.426579,45.874055 
2,010A514A4B,2,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426592,45.874067,9.426592,45.874067 
3,010A514A61,3,16,16,Run_rapid,Run_rapid,0.000,9.426580,45.874056,9.426580,45.874056 
4,010A51560D,4,16,16,Run_rapid,Run_rapid,0.000,9.426574,45.874054,9.426574,45.874054 
5,010A516DFC,5,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426592,45.874066,9.426592,45.874066 
6,010A517B57,6,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426592,45.874069,9.426592,45.874069 
7,010A517DDA,7,16,17,Run_rapid,Steep_poolzone,26.030,9.426586,45.874059,9.426400,45.873912 
8,010A517DDA,7,17,18,Steep_poolzone,Cascade,22.718,9.426400,45.873912,9.426269,45.873753 
9,010A517DDA,7,18,18,Cascade,Cascade,0.000,9.426269,45.873753,9.426269,45.873753 
10,010A5187F3,8,16,16,Run_rapid,Run_rapid,0.000,9.426587,45.874059,9.426587,45.874059 
11,010A518F14,9,16,16,Run_rapid,Run_rapid,0.000,9.426582,45.874057,9.426582,45.874057 
12,010A51945D,10,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426591,45.874065,9.426591,45.874065 
13,010A51A180,11,16,16,Cascade,Cascade,0.000,9.426591,45.874063,9.426591,45.874063 
14,010A51A992,13,16,17,Run_rapid,Run_rapid,0.000,9.426583,45.874057,9.426583,45.874057 
15,010A51A992,13,17,18,Run_rapid,Run_rapid,0.000,9.426583,45.874057,9.426583,45.874057 
16,010A51A992,13,18,18,Run_rapid,Run_rapid,0.000,9.426583,45.874057,9.426583,45.874057 
17,010A51B411,14,16,16,Cascade,Cascade,0.000,9.426590,45.874062,9.426590,45.874062 
18,010A51C990,15,16,16,Run_rapid,Run_rapid,0.000,9.426588,45.874060,9.426588,45.874060 
19,010A51D1BB,16,16,16,Run_rapid,Run_rapid,0.000,9.426575,45.874054,9.426575,45.874054 
20,010A51D8C2,17,16,16,Run_rapid,Run_rapid,0.000,9.426585,45.874058,9.426585,45.874058 
21,010A51E75D,18,16,17,Run_rapid,Cascade,1.858,9.426584,45.874058,9.426575,45.874072 
22,010A51E75D,18,17,18,Cascade,Run_rapid,1.302,9.426575,45.874072,9.426564,45.874067 
23,010A51E75D,18,18,18,Run_rapid,Run_rapid,0.000,9.426564,45.874067,9.426564,45.874067 
24,010A51EFB3,19,16,16,Run_rapid,Run_rapid,0.000,9.426577,45.874055,9.426577,45.874055 
25,010A51F5DF,20,16,16,Cascade,Cascade,0.000,9.426589,45.874061,9.426589,45.874061 
26,010AC176BF,21,16,16,Run_rapid,Run_rapid,0.000,9.426578,45.874055,9.426578,45.874055 
