ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,010A510833,1,14,16,Cascade,Run_rapid,17.411,9.426754,45.874221,9.426637,45.874115 
2,010A510833,1,16,16,Run_rapid,Run_rapid,0.000,9.426637,45.874115,9.426637,45.874115 
3,010A510A41,2,14,18,Cascade,Bars_sedimentbuildupzones,30.827,9.426756,45.874216,9.426545,45.874032 
4,010A510A41,2,18,19,Bars_sedimentbuildupzones,Banks,48.316,9.426545,45.874032,9.426300,45.873667 
5,010A510A41,2,19,19,Banks,Banks,0.000,9.426300,45.873667,9.426300,45.873667 
6,010A51265E,3,14,15,Bars_sedimentbuildupzones,Cascade,4.768,9.426749,45.874228,9.426727,45.874191 
7,010A51265E,3,15,16,Cascade,Cascade,1.266,9.426727,45.874191,9.426732,45.874180 
8,010A51265E,3,16,16,Cascade,Cascade,0.000,9.426732,45.874180,9.426732,45.874180 
9,010A512F3E,4,14,15,Cascade,Cascade,7.847,9.426755,45.874222,9.426702,45.874174 
10,010A512F3E,4,15,17,Cascade,Run_rapid,16.290,9.426702,45.874174,9.426610,45.874058 
11,010A512F3E,4,17,18,Run_rapid,Bars_sedimentbuildupzones,8.177,9.426610,45.874058,9.426540,45.874032 
12,010A512F3E,4,18,18,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426540,45.874032,9.426540,45.874032 
13,010A515BDA,5,14,15,Cascade,Cascade,0.384,9.426755,45.874223,9.426752,45.874222 
14,010A515BDA,5,15,16,Cascade,Cascade,5.059,9.426752,45.874222,9.426730,45.874181 
15,010A515BDA,5,16,16,Cascade,Cascade,0.000,9.426730,45.874181,9.426730,45.874181 
16,010A51608A,6,14,15,Cascade,Cascade,2.114,9.426754,45.874227,9.426739,45.874215 
17,010A51608A,6,15,16,Cascade,Cascade,0.000,9.426739,45.874215,9.426739,45.874215 
18,010A51608A,6,16,16,Cascade,Cascade,0.000,9.426739,45.874215,9.426739,45.874215 
19,010A5162D8,7,14,16,Cascade,Cascade,10.083,9.426755,45.874226,9.426679,45.874174 
20,010A5162D8,7,16,16,Cascade,Cascade,0.000,9.426679,45.874174,9.426679,45.874174 
21,010A5166B2,8,14,15,Bars_sedimentbuildupzones,Cascade,1.584,9.426745,45.874228,9.426735,45.874217 
22,010A5166B2,8,15,16,Cascade,Cascade,4.069,9.426735,45.874217,9.426726,45.874182 
23,010A5166B2,8,16,17,Cascade,Cascade,2.178,9.426726,45.874182,9.426731,45.874162 
24,010A5166B2,8,17,18,Cascade,Cascade,0.000,9.426731,45.874162,9.426731,45.874162 
25,010A5166B2,8,18,18,Cascade,Cascade,0.000,9.426731,45.874162,9.426731,45.874162 
26,010A516EA0,9,14,15,Bars_sedimentbuildupzones,Cascade,2.822,9.426750,45.874228,9.426739,45.874205 
27,010A516EA0,9,15,16,Cascade,Cascade,2.988,9.426739,45.874205,9.426728,45.874180 
28,010A516EA0,9,16,17,Cascade,Cascade,1.529,9.426728,45.874180,9.426729,45.874166 
29,010A516EA0,9,17,18,Cascade,Cascade,0.000,9.426729,45.874166,9.426729,45.874166 
30,010A516EA0,9,18,18,Cascade,Cascade,0.000,9.426729,45.874166,9.426729,45.874166 
31,010A51843D,10,14,15,Cascade,Cascade,0.000,9.426760,45.874211,9.426760,45.874211 
32,010A51843D,10,15,16,Cascade,Cascade,0.000,9.426760,45.874211,9.426760,45.874211 
33,010A51843D,10,16,16,Cascade,Cascade,0.000,9.426760,45.874211,9.426760,45.874211 
34,010A519C6D,25,14,18,Bars_sedimentbuildupzones,Steep_poolzone,54.550,9.426744,45.874228,9.426372,45.873900 
35,010A519C6D,25,18,18,Steep_poolzone,Steep_poolzone,0.000,9.426372,45.873900,9.426372,45.873900 
36,010A519CDF,11,14,15,Cascade,Cascade,4.223,9.426755,45.874219,9.426729,45.874191 
37,010A519CDF,11,15,16,Cascade,Cascade,1.200,9.426729,45.874191,9.426725,45.874180 
38,010A519CDF,11,16,17,Cascade,Cascade,0.000,9.426725,45.874180,9.426725,45.874180 
39,010A519CDF,11,17,18,Cascade,Cascade,0.000,9.426725,45.874180,9.426725,45.874180 
40,010A519CDF,11,18,18,Cascade,Cascade,0.000,9.426725,45.874180,9.426725,45.874180 
41,010A51ABA4,12,14,15,Cascade,Cascade,5.059,9.426758,45.874214,9.426721,45.874186 
42,010A51ABA4,12,15,16,Cascade,Cascade,5.187,9.426721,45.874186,9.426677,45.874169 
43,010A51ABA4,12,16,16,Cascade,Cascade,0.000,9.426677,45.874169,9.426677,45.874169 
44,010A51BBC9,13,14,15,Cascade,Cascade,4.852,9.426755,45.874220,9.426731,45.874183 
45,010A51BBC9,13,15,16,Cascade,Cascade,10.376,9.426731,45.874183,9.426654,45.874129 
46,010A51BBC9,13,16,16,Cascade,Cascade,0.000,9.426654,45.874129,9.426654,45.874129 
47,010A51C808,14,14,15,Cascade,Cascade,4.687,9.426756,45.874217,9.426729,45.874184 
48,010A51C808,14,15,16,Cascade,Cascade,2.909,9.426729,45.874184,9.426725,45.874158 
49,010A51C808,14,16,16,Cascade,Cascade,0.000,9.426725,45.874158,9.426725,45.874158 
50,010A51CBC5,15,14,15,Cascade,Cascade,0.000,9.426759,45.874212,9.426759,45.874212 
51,010A51CBC5,15,15,15,Cascade,Cascade,0.000,9.426759,45.874212,9.426759,45.874212 
52,010A51D3DC,16,14,15,Bars_sedimentbuildupzones,Cascade,5.352,9.426747,45.874228,9.426728,45.874183 
53,010A51D3DC,16,15,16,Cascade,Bars_sedimentbuildupzones,7.028,9.426728,45.874183,9.426678,45.874143 
54,010A51D3DC,16,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426678,45.874143,9.426678,45.874143 
55,010A51DFF7,17,14,15,Bars_sedimentbuildupzones,Cascade,4.747,9.426748,45.874228,9.426728,45.874189 
56,010A51DFF7,17,15,16,Cascade,Cascade,3.657,9.426728,45.874189,9.426723,45.874156 
57,010A51DFF7,17,16,16,Cascade,Cascade,0.000,9.426723,45.874156,9.426723,45.874156 
58,010A51E505,18,14,15,Bars_sedimentbuildupzones,Cascade,1.510,9.426742,45.874228,9.426734,45.874217 
59,010A51E505,18,15,16,Cascade,Cascade,4.254,9.426734,45.874217,9.426726,45.874179 
60,010A51E505,18,16,16,Cascade,Cascade,0.000,9.426726,45.874179,9.426726,45.874179 
61,010A51E66E,19,14,16,Bars_sedimentbuildupzones,Cascade,2.857,9.426751,45.874228,9.426739,45.874205 
62,010A51E66E,19,16,16,Cascade,Cascade,0.000,9.426739,45.874205,9.426739,45.874205 
63,010A51E7F7,20,14,15,Cascade,Cascade,1.500,9.426755,45.874225,9.426748,45.874213 
64,010A51E7F7,20,15,17,Cascade,Cascade,0.000,9.426748,45.874213,9.426748,45.874213 
65,010A51E7F7,20,17,18,Cascade,Cascade,0.000,9.426748,45.874213,9.426748,45.874213 
66,010A51E7F7,20,18,18,Cascade,Cascade,0.000,9.426748,45.874213,9.426748,45.874213 
67,010A51FC05,21,14,15,Bars_sedimentbuildupzones,Pools,2.028,9.426740,45.874229,9.426731,45.874213 
68,010A51FC05,21,15,17,Pools,Run_rapid,80.072,9.426731,45.874213,9.426302,45.873624 
69,010A51FC05,21,17,18,Run_rapid,Run_rapid,0.000,9.426302,45.873624,9.426302,45.873624 
