ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,010A511708,2,12,13,Cascade,Cascade,0.041,9.426825,45.874286,9.426825,45.874286 
2,010A511708,2,13,14,Cascade,Cascade,0.017,9.426825,45.874286,9.426825,45.874285 
3,010A511708,2,14,15,Cascade,Cascade,0.659,9.426825,45.874285,9.426821,45.874281 
4,010A511708,2,15,16,Cascade,Bars_sedimentbuildupzones,4.146,9.426821,45.874281,9.426842,45.874312 
5,010A511708,2,16,18,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426842,45.874312,9.426842,45.874312 
6,010A511708,2,18,19,Bars_sedimentbuildupzones,Steep_poolzone,58.453,9.426842,45.874312,9.426445,45.873959 
7,010A511708,2,19,20,Steep_poolzone,Steep_poolzone,0.000,9.426445,45.873959,9.426445,45.873959 
8,010A511708,2,20,20,Steep_poolzone,Steep_poolzone,0.000,9.426445,45.873959,9.426445,45.873959 
9,010A5122D3,3,12,13,Cascade,Cascade,0.805,9.426826,45.874281,9.426819,45.874281 
10,010A5122D3,3,13,15,Cascade,Cascade,0.667,9.426819,45.874281,9.426817,45.874276 
11,010A5122D3,3,15,16,Cascade,Cascade,1.070,9.426817,45.874276,9.426825,45.874271 
12,010A5122D3,3,16,16,Cascade,Cascade,0.000,9.426825,45.874271,9.426825,45.874271 
13,010A512A2F,4,12,13,Banks,Banks,0.046,9.426864,45.874264,9.426864,45.874264 
14,010A512A2F,4,13,14,Banks,Banks,0.015,9.426864,45.874264,9.426864,45.874264 
15,010A512A2F,4,14,15,Banks,Banks,0.007,9.426864,45.874264,9.426864,45.874264 
16,010A512A2F,4,15,16,Banks,Cascade,0.726,9.426864,45.874264,9.426861,45.874270 
17,010A512A2F,4,16,17,Cascade,Banks,5.789,9.426861,45.874270,9.426897,45.874308 
18,010A512A2F,4,17,18,Banks,Cascade,10.641,9.426897,45.874308,9.426814,45.874259 
19,010A512A2F,4,18,19,Cascade,Cascade,18.013,9.426814,45.874259,9.426675,45.874172 
20,010A512A2F,4,19,20,Cascade,Cascade,0.000,9.426675,45.874172,9.426675,45.874172 
21,010A512A2F,4,20,20,Cascade,Cascade,0.000,9.426675,45.874172,9.426675,45.874172 
22,010A51497F,5,12,13,Cascade,Cascade,0.032,9.426852,45.874263,9.426852,45.874262 
23,010A51497F,5,13,14,Cascade,Cascade,0.029,9.426852,45.874262,9.426852,45.874262 
24,010A51497F,5,14,15,Cascade,Cascade,0.000,9.426852,45.874262,9.426852,45.874262 
25,010A51497F,5,15,16,Cascade,Cascade,0.000,9.426852,45.874262,9.426852,45.874262 
26,010A51497F,5,16,16,Cascade,Cascade,0.000,9.426852,45.874262,9.426852,45.874262 
27,010A51560C,7,12,14,Cascade,Cascade,0.044,9.426826,45.874283,9.426826,45.874282 
28,010A51560C,7,14,15,Cascade,Cascade,1.216,9.426826,45.874282,9.426815,45.874285 
29,010A51560C,7,15,16,Cascade,Cascade,1.215,9.426815,45.874285,9.426807,45.874277 
30,010A51560C,7,16,16,Cascade,Cascade,0.000,9.426807,45.874277,9.426807,45.874277 
31,010A5157C1,8,12,13,Cascade,Cascade,0.034,9.426822,45.874292,9.426822,45.874292 
32,010A5157C1,8,13,14,Cascade,Cascade,0.014,9.426822,45.874292,9.426822,45.874291 
33,010A5157C1,8,14,15,Cascade,Cascade,0.027,9.426822,45.874291,9.426822,45.874291 
34,010A5157C1,8,15,16,Cascade,Planebed,5.000,9.426822,45.874291,9.426864,45.874308 
35,010A5157C1,8,16,16,Planebed,Planebed,0.000,9.426864,45.874308,9.426864,45.874308 
36,010A5159B3,9,12,13,Cascade,Cascade,0.039,9.426826,45.874282,9.426826,45.874282 
37,010A5159B3,9,13,14,Cascade,Cascade,0.000,9.426826,45.874282,9.426826,45.874282 
38,010A5159B3,9,14,15,Cascade,Cascade,1.677,9.426826,45.874282,9.426812,45.874275 
39,010A5159B3,9,15,16,Cascade,Cascade,0.862,9.426812,45.874275,9.426810,45.874267 
40,010A5159B3,9,16,17,Cascade,,95.164,9.426810,45.874267,9.426289,45.873577 
41,010A5159B3,9,17,18,,,0.000,9.426289,45.873577,9.426289,45.873577 
42,010A5159B3,9,18,18,,,0.000,9.426289,45.873577,9.426289,45.873577 
43,010A516CE8,10,12,13,Cascade,Cascade,0.037,9.426844,45.874269,9.426844,45.874269 
44,010A516CE8,10,13,14,Cascade,Cascade,0.027,9.426844,45.874269,9.426843,45.874269 
45,010A516CE8,10,14,15,Cascade,Cascade,0.013,9.426843,45.874269,9.426843,45.874269 
46,010A516CE8,10,15,16,Cascade,Cascade,0.000,9.426843,45.874269,9.426843,45.874269 
47,010A516CE8,10,16,16,Cascade,Cascade,0.000,9.426843,45.874269,9.426843,45.874269 
48,010A51843E,11,12,13,Cascade,Cascade,0.542,9.426849,45.874263,9.426845,45.874262 
49,010A51843E,11,13,14,Cascade,Cascade,0.000,9.426845,45.874262,9.426845,45.874262 
50,010A51843E,11,14,15,Cascade,Cascade,0.329,9.426845,45.874262,9.426845,45.874259 
51,010A51843E,11,15,16,Cascade,Cascade,0.000,9.426845,45.874259,9.426845,45.874259 
52,010A51843E,11,16,20,Cascade,Planebed,8.986,9.426845,45.874259,9.426874,45.874335 
53,010A51843E,11,20,20,Planebed,Planebed,0.000,9.426874,45.874335,9.426874,45.874335 
54,010A51879D,12,12,13,Cascade,Cascade,0.030,9.426833,45.874277,9.426833,45.874276 
55,010A51879D,12,13,14,Cascade,Cascade,0.017,9.426833,45.874276,9.426833,45.874276 
56,010A51879D,12,14,15,Cascade,Cascade,0.423,9.426833,45.874276,9.426829,45.874275 
57,010A51879D,12,15,16,Cascade,Cascade,0.000,9.426829,45.874275,9.426829,45.874275 
58,010A51879D,12,16,16,Cascade,Cascade,0.000,9.426829,45.874275,9.426829,45.874275 
59,010A51909A,13,12,13,Cascade,Cascade,1.883,9.426848,45.874265,9.426831,45.874265 
60,010A51909A,13,13,14,Cascade,Cascade,0.000,9.426831,45.874265,9.426831,45.874265 
61,010A51909A,13,14,15,Cascade,Cascade,0.000,9.426831,45.874265,9.426831,45.874265 
62,010A51909A,13,15,16,Cascade,Cascade,15.678,9.426831,45.874265,9.426723,45.874171 
63,010A51909A,13,16,16,Cascade,Cascade,0.000,9.426723,45.874171,9.426723,45.874171 
64,010A5196C4,14,12,13,Cascade,Cascade,0.037,9.426835,45.874274,9.426835,45.874274 
65,010A5196C4,14,13,14,Cascade,Cascade,0.014,9.426835,45.874274,9.426835,45.874274 
66,010A5196C4,14,14,15,Cascade,Cascade,0.000,9.426835,45.874274,9.426835,45.874274 
67,010A5196C4,14,15,16,Cascade,Cascade,0.000,9.426835,45.874274,9.426835,45.874274 
68,010A5196C4,14,16,16,Cascade,Cascade,0.000,9.426835,45.874274,9.426835,45.874274 
69,010A519C5D,15,12,13,Cascade,Cascade,0.050,9.426833,45.874278,9.426833,45.874278 
70,010A519C5D,15,13,14,Cascade,Cascade,0.054,9.426833,45.874278,9.426833,45.874277 
71,010A519C5D,15,14,15,Cascade,Cascade,0.000,9.426833,45.874277,9.426833,45.874277 
72,010A519C5D,15,15,16,Cascade,Cascade,0.000,9.426833,45.874277,9.426833,45.874277 
73,010A519C5D,15,16,18,Cascade,Cascade,25.121,9.426833,45.874277,9.426659,45.874129 
74,010A519C5D,15,18,18,Cascade,Cascade,0.000,9.426659,45.874129,9.426659,45.874129 
75,010A51A25A,16,12,13,Banks,Banks,0.050,9.426871,45.874259,9.426871,45.874259 
76,010A51A25A,16,13,14,Banks,Banks,0.000,9.426871,45.874259,9.426871,45.874259 
77,010A51A25A,16,14,15,Banks,Banks,0.000,9.426871,45.874259,9.426871,45.874259 
78,010A51A25A,16,15,16,Banks,Planebed,9.817,9.426871,45.874259,9.426856,45.874347 
79,010A51A25A,16,16,16,Planebed,Planebed,0.000,9.426856,45.874347,9.426856,45.874347 
80,010A51A9E9,17,12,13,Banks,Banks,0.055,9.426871,45.874259,9.426870,45.874259 
81,010A51A9E9,17,13,14,Banks,Banks,0.003,9.426870,45.874259,9.426870,45.874259 
82,010A51A9E9,17,14,15,Banks,Banks,0.013,9.426870,45.874259,9.426870,45.874259 
83,010A51A9E9,17,15,16,Banks,Banks,0.000,9.426870,45.874259,9.426870,45.874259 
84,010A51A9E9,17,16,17,Banks,Banks,2.418,9.426870,45.874259,9.426865,45.874238 
85,010A51A9E9,17,17,18,Banks,Banks,0.000,9.426865,45.874238,9.426865,45.874238 
86,010A51A9E9,17,18,19,Banks,Banks,2.646,9.426865,45.874238,9.426842,45.874232 
87,010A51A9E9,17,19,20,Banks,Banks,0.000,9.426842,45.874232,9.426842,45.874232 
88,010A51A9E9,17,20,20,Banks,Banks,0.000,9.426842,45.874232,9.426842,45.874232 
89,010A51AE30,18,12,13,Cascade,Cascade,0.047,9.426824,45.874288,9.426824,45.874288 
90,010A51AE30,18,13,14,Cascade,Cascade,0.013,9.426824,45.874288,9.426824,45.874288 
91,010A51AE30,18,14,15,Cascade,Cascade,0.028,9.426824,45.874288,9.426824,45.874288 
92,010A51AE30,18,15,16,Cascade,Planebed,5.803,9.426824,45.874288,9.426849,45.874334 
93,010A51AE30,18,16,16,Planebed,Planebed,0.000,9.426849,45.874334,9.426849,45.874334 
94,010A51B0E7,19,12,13,Banks,Banks,0.028,9.426865,45.874264,9.426865,45.874264 
95,010A51B0E7,19,13,14,Banks,Banks,0.042,9.426865,45.874264,9.426865,45.874263 
96,010A51B0E7,19,14,15,Banks,Banks,0.002,9.426865,45.874263,9.426865,45.874264 
97,010A51B0E7,19,15,16,Banks,Banks,0.002,9.426865,45.874264,9.426865,45.874263 
98,010A51B0E7,19,16,16,Banks,Banks,0.000,9.426865,45.874263,9.426865,45.874263 
99,010A51B229,30,12,13,Cascade,Cascade,0.028,9.426824,45.874287,9.426824,45.874287 
100,010A51B229,30,13,14,Cascade,Cascade,0.008,9.426824,45.874287,9.426824,45.874287 
101,010A51B229,30,14,15,Cascade,Cascade,0.009,9.426824,45.874287,9.426824,45.874287 
102,010A51B229,30,15,16,Cascade,Cascade,0.000,9.426824,45.874287,9.426824,45.874287 
103,010A51B229,30,16,16,Cascade,Cascade,0.000,9.426824,45.874287,9.426824,45.874287 
104,010A51B249,31,12,13,Cascade,Cascade,0.033,9.426823,45.874291,9.426823,45.874291 
105,010A51B249,31,13,14,Cascade,Cascade,0.002,9.426823,45.874291,9.426823,45.874291 
106,010A51B249,31,14,15,Cascade,Cascade,0.002,9.426823,45.874291,9.426823,45.874291 
107,010A51B249,31,15,16,Cascade,Planebed,5.719,9.426823,45.874291,9.426854,45.874333 
108,010A51B249,31,16,16,Planebed,Planebed,0.000,9.426854,45.874333,9.426854,45.874333 
109,010A51B443,32,12,13,Cascade,Cascade,0.044,9.426824,45.874290,9.426824,45.874289 
110,010A51B443,32,13,14,Cascade,Cascade,0.006,9.426824,45.874289,9.426824,45.874289 
