ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,4600710675,1,12,13,Cascade,Cascade,2.791,9.426792,45.874247,9.426771,45.874233 
2,4600710675,1,13,14,Cascade,Cascade,0.139,9.426771,45.874233,9.426770,45.874232 
3,4600710675,1,14,16,Cascade,Cascade,0.000,9.426770,45.874232,9.426770,45.874232 
4,4600710675,1,16,16,Cascade,Cascade,0.000,9.426770,45.874232,9.426770,45.874232 
5,010A513B75,2,12,13,Cascade,Cascade,2.679,9.426791,45.874250,9.426775,45.874232 
6,010A513B75,2,13,14,Cascade,Cascade,1.996,9.426775,45.874232,9.426793,45.874236 
7,010A513B75,2,14,14,Cascade,Cascade,0.000,9.426793,45.874236,9.426793,45.874236 
8,010A514120,3,12,13,Cascade,Cascade,1.250,9.426794,45.874244,9.426786,45.874236 
9,010A514120,3,13,14,Cascade,Cascade,0.000,9.426786,45.874236,9.426786,45.874236 
10,010A514120,3,14,15,Cascade,Cascade,0.000,9.426786,45.874236,9.426786,45.874236 
11,010A514120,3,15,15,Cascade,Cascade,0.000,9.426786,45.874236,9.426786,45.874236 
12,010A515E2C,4,12,13,Cascade,Cascade,0.228,9.426798,45.874243,9.426799,45.874241 
13,010A515E2C,4,13,14,Cascade,Cascade,0.011,9.426799,45.874241,9.426799,45.874241 
14,010A515E2C,4,14,15,Cascade,Cascade,10.546,9.426799,45.874241,9.426734,45.874171 
15,010A515E2C,4,15,16,Cascade,Cascade,0.000,9.426734,45.874171,9.426734,45.874171 
16,010A515E2C,4,16,17,Cascade,Cascade,0.000,9.426734,45.874171,9.426734,45.874171 
17,010A515E2C,4,17,18,Cascade,Cascade,0.000,9.426734,45.874171,9.426734,45.874171 
18,010A515E2C,4,18,19,Cascade,Cascade,0.000,9.426734,45.874171,9.426734,45.874171 
19,010A515E2C,4,19,20,Cascade,Cascade,0.000,9.426734,45.874171,9.426734,45.874171 
20,010A515E2C,4,20,20,Cascade,Cascade,0.000,9.426734,45.874171,9.426734,45.874171 
21,010A516DC8,5,12,13,Cascade,Cascade,0.451,9.426788,45.874256,9.426784,45.874256 
22,010A516DC8,5,13,14,Cascade,Cascade,0.000,9.426784,45.874256,9.426784,45.874256 
23,010A516DC8,5,14,15,Cascade,Cascade,0.521,9.426784,45.874256,9.426780,45.874253 
24,010A516DC8,5,15,16,Cascade,Bars_sedimentbuildupzones,4.013,9.426780,45.874253,9.426748,45.874235 
25,010A516DC8,5,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426748,45.874235,9.426748,45.874235 
26,010A517829,6,12,13,Cascade,Banks,1.686,9.426787,45.874257,9.426772,45.874255 
27,010A517829,6,13,14,Banks,Banks,0.106,9.426772,45.874255,9.426771,45.874255 
28,010A517829,6,14,15,Banks,Cascade,5.969,9.426771,45.874255,9.426735,45.874214 
29,010A517829,6,15,16,Cascade,Cascade,12.674,9.426735,45.874214,9.426656,45.874130 
30,010A517829,6,16,16,Cascade,Cascade,0.000,9.426656,45.874130,9.426656,45.874130 
31,010A5184CC,7,12,13,Cascade,Cascade,0.302,9.426796,45.874243,9.426798,45.874242 
32,010A5184CC,7,13,14,Cascade,Cascade,0.000,9.426798,45.874242,9.426798,45.874242 
33,010A5184CC,7,14,15,Cascade,Cascade,0.000,9.426798,45.874242,9.426798,45.874242 
34,010A5184CC,7,15,16,Cascade,Cascade,0.344,9.426798,45.874242,9.426798,45.874239 
35,010A5184CC,7,16,17,Cascade,Cascade,86.672,9.426798,45.874239,9.426277,45.873648 
36,010A5184CC,7,17,17,Cascade,Cascade,0.000,9.426277,45.873648,9.426277,45.873648 
37,010A51A697,8,12,13,Cascade,Cascade,0.870,9.426790,45.874253,9.426785,45.874247 
38,010A51A697,8,13,14,Cascade,Cascade,1.438,9.426785,45.874247,9.426772,45.874246 
39,010A51A697,8,14,15,Cascade,Banks,3.576,9.426772,45.874246,9.426741,45.874238 
40,010A51A697,8,15,16,Banks,Banks,0.000,9.426741,45.874238,9.426741,45.874238 
41,010A51A697,8,16,16,Banks,Banks,0.000,9.426741,45.874238,9.426741,45.874238 
42,010A522A8E,9,12,13,Cascade,Cascade,0.581,9.426789,45.874254,9.426783,45.874254 
43,010A522A8E,9,13,14,Cascade,Cascade,0.000,9.426783,45.874254,9.426783,45.874254 
44,010A522A8E,9,14,15,Cascade,Cascade,3.584,9.426783,45.874254,9.426756,45.874236 
45,010A522A8E,9,15,17,Cascade,Cascade,10.762,9.426756,45.874236,9.426680,45.874174 
46,010A522A8E,9,17,18,Cascade,Pools,2.885,9.426680,45.874174,9.426665,45.874152 
47,010A522A8E,9,18,18,Pools,Pools,0.000,9.426665,45.874152,9.426665,45.874152 
48,46007095D5,10,12,13,Cascade,Cascade,0.291,9.426799,45.874241,9.426801,45.874239 
49,46007095D5,10,13,14,Cascade,Cascade,0.098,9.426801,45.874239,9.426801,45.874239 
50,46007095D5,10,14,15,Cascade,Cascade,0.000,9.426801,45.874239,9.426801,45.874239 
51,46007095D5,10,15,16,Cascade,Cascade,11.754,9.426801,45.874239,9.426729,45.874159 
52,46007095D5,10,16,17,Cascade,Cascade,0.000,9.426729,45.874159,9.426729,45.874159 
53,46007095D5,10,17,18,Cascade,Cascade,0.000,9.426729,45.874159,9.426729,45.874159 
54,46007095D5,10,18,19,Cascade,Cascade,0.000,9.426729,45.874159,9.426729,45.874159 
55,46007095D5,10,19,19,Cascade,Cascade,0.000,9.426729,45.874159,9.426729,45.874159 
56,47002CF57A,11,12,13,Cascade,Cascade,2.699,9.426791,45.874249,9.426779,45.874228 
57,47002CF57A,11,13,14,Cascade,Cascade,0.472,9.426779,45.874228,9.426774,45.874228 
58,47002CF57A,11,14,15,Cascade,Cascade,6.335,9.426774,45.874228,9.426732,45.874189 
59,47002CF57A,11,15,16,Cascade,Cascade,1.244,9.426732,45.874189,9.426737,45.874179 
60,47002CF57A,11,16,17,Cascade,Cascade,0.000,9.426737,45.874179,9.426737,45.874179 
61,47002CF57A,11,17,18,Cascade,Cascade,0.000,9.426737,45.874179,9.426737,45.874179 
62,47002CF57A,11,18,19,Cascade,Cascade,0.000,9.426737,45.874179,9.426737,45.874179 
63,47002CF57A,11,19,19,Cascade,Cascade,0.000,9.426737,45.874179,9.426737,45.874179 
64,47002CF82C,12,12,13,Cascade,Cascade,0.337,9.426791,45.874248,9.426793,45.874245 
65,47002CF82C,12,13,14,Cascade,Cascade,0.000,9.426793,45.874245,9.426793,45.874245 
66,47002CF82C,12,14,15,Cascade,Cascade,11.235,9.426793,45.874245,9.426704,45.874196 
67,47002CF82C,12,15,16,Cascade,Cascade,1.120,9.426704,45.874196,9.426696,45.874188 
68,47002CF82C,12,16,16,Cascade,Cascade,0.000,9.426696,45.874188,9.426696,45.874188 
69,47002D0934,13,12,13,Cascade,Cascade,2.008,9.426793,45.874246,9.426787,45.874228 
70,47002D0934,13,13,14,Cascade,Cascade,0.000,9.426787,45.874228,9.426787,45.874228 
71,47002D0934,13,14,16,Cascade,Cascade,3.146,9.426787,45.874228,9.426760,45.874236 
72,47002D0934,13,16,17,Cascade,Pools,5.163,9.426760,45.874236,9.426724,45.874205 
73,47002D0934,13,17,17,Pools,Pools,0.000,9.426724,45.874205,9.426724,45.874205 
74,47002D3C4D,14,12,13,Cascade,Cascade,2.747,9.426790,45.874252,9.426769,45.874239 
75,47002D3C4D,14,13,14,Cascade,Cascade,0.105,9.426769,45.874239,9.426769,45.874238 
76,47002D3C4D,14,14,15,Cascade,Cascade,4.365,9.426769,45.874238,9.426745,45.874206 
77,47002D3C4D,14,15,15,Cascade,Cascade,0.000,9.426745,45.874206,9.426745,45.874206 
