ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,4600709054,1,12,13,Cascade,Cascade,1.562,9.426805,45.874273,9.426794,45.874265 
2,4600709054,1,13,14,Cascade,Cascade,0.145,9.426794,45.874265,9.426793,45.874264 
3,4600709054,1,14,15,Cascade,Cascade,0.559,9.426793,45.874264,9.426791,45.874259 
4,4600709054,1,15,17,Cascade,Cascade,5.271,9.426791,45.874259,9.426748,45.874239 
5,4600709054,1,17,18,Cascade,Cascade,1.145,9.426748,45.874239,9.426739,45.874234 
6,4600709054,1,18,18,Cascade,Cascade,0.000,9.426739,45.874234,9.426739,45.874234 
7,010A511B36,2,12,13,Cascade,Cascade,0.072,9.426829,45.874241,9.426829,45.874241 
8,010A511B36,2,13,14,Cascade,Cascade,0.000,9.426829,45.874241,9.426829,45.874241 
9,010A511B36,2,14,15,Cascade,Cascade,0.995,9.426829,45.874241,9.426820,45.874244 
10,010A511B36,2,15,16,Cascade,Cascade,1.236,9.426820,45.874244,9.426809,45.874244 
11,010A511B36,2,16,16,Cascade,Cascade,0.000,9.426809,45.874244,9.426809,45.874244 
12,010A515935,3,12,13,Cascade,Cascade,0.084,9.426828,45.874244,9.426828,45.874243 
13,010A515935,3,13,14,Cascade,Cascade,0.016,9.426828,45.874243,9.426828,45.874243 
14,010A515935,3,14,15,Cascade,Cascade,0.861,9.426828,45.874243,9.426820,45.874245 
15,010A515935,3,15,15,Cascade,Cascade,0.000,9.426820,45.874245,9.426820,45.874245 
16,010A516062,4,12,13,Cascade,Cascade,0.035,9.426811,45.874265,9.426811,45.874265 
17,010A516062,4,13,14,Cascade,Cascade,0.004,9.426811,45.874265,9.426811,45.874265 
18,010A516062,4,14,15,Cascade,Cascade,2.392,9.426811,45.874265,9.426790,45.874259 
19,010A516062,4,15,17,Cascade,Run_rapid,26.809,9.426790,45.874259,9.426605,45.874100 
20,010A516062,4,17,17,Run_rapid,Run_rapid,0.000,9.426605,45.874100,9.426605,45.874100 
21,010A5166AB,5,12,13,Cascade,Cascade,0.076,9.426823,45.874250,9.426822,45.874249 
22,010A5166AB,5,13,14,Cascade,Cascade,0.013,9.426822,45.874249,9.426822,45.874249 
23,010A5166AB,5,14,15,Cascade,Cascade,0.446,9.426822,45.874249,9.426819,45.874247 
24,010A5166AB,5,15,16,Cascade,Cascade,0.000,9.426819,45.874247,9.426819,45.874247 
25,010A5166AB,5,16,17,Cascade,Cascade,86.325,9.426819,45.874247,9.426256,45.873700 
26,010A5166AB,5,17,18,Cascade,Cascade,0.000,9.426256,45.873700,9.426256,45.873700 
27,010A5166AB,5,18,18,Cascade,Cascade,0.000,9.426256,45.873700,9.426256,45.873700 
28,010A516824,6,12,13,Cascade,Cascade,0.073,9.426822,45.874253,9.426822,45.874252 
29,010A516824,6,13,14,Cascade,Cascade,0.012,9.426822,45.874252,9.426822,45.874252 
30,010A516824,6,14,15,Cascade,Cascade,0.012,9.426822,45.874252,9.426822,45.874252 
31,010A516824,6,15,16,Cascade,Cascade,12.502,9.426822,45.874252,9.426730,45.874186 
32,010A516824,6,16,17,Cascade,Cascade,3.103,9.426730,45.874186,9.426726,45.874158 
33,010A516824,6,17,18,Cascade,Cascade,0.000,9.426726,45.874158,9.426726,45.874158 
34,010A516824,6,18,18,Cascade,Cascade,0.000,9.426726,45.874158,9.426726,45.874158 
35,010A5175D8,7,12,13,Cascade,Cascade,0.084,9.426828,45.874245,9.426827,45.874245 
36,010A5175D8,7,13,14,Cascade,Cascade,0.012,9.426827,45.874245,9.426827,45.874245 
37,010A5175D8,7,14,15,Cascade,Cascade,0.708,9.426827,45.874245,9.426821,45.874246 
38,010A5175D8,7,15,16,Cascade,Cascade,0.000,9.426821,45.874246,9.426821,45.874246 
39,010A5175D8,7,16,17,Cascade,Bars_sedimentbuildupzones,38.975,9.426821,45.874246,9.426540,45.874029 
40,010A5175D8,7,17,18,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426540,45.874029,9.426540,45.874029 
41,010A5175D8,7,18,18,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426540,45.874029,9.426540,45.874029 
42,010A51760F,8,12,13,Cascade,Cascade,1.517,9.426815,45.874258,9.426807,45.874247 
43,010A51760F,8,13,14,Cascade,Cascade,0.000,9.426807,45.874247,9.426807,45.874247 
44,010A51760F,8,14,15,Cascade,Cascade,0.000,9.426807,45.874247,9.426807,45.874247 
45,010A51760F,8,15,16,Cascade,Cascade,0.000,9.426807,45.874247,9.426807,45.874247 
46,010A51760F,8,16,16,Cascade,Cascade,0.000,9.426807,45.874247,9.426807,45.874247 
47,010A517835,9,12,13,Cascade,Cascade,0.886,9.426813,45.874261,9.426805,45.874259 
48,010A517835,9,13,14,Cascade,Cascade,0.000,9.426805,45.874259,9.426805,45.874259 
49,010A517835,9,14,15,Cascade,Cascade,1.529,9.426805,45.874259,9.426802,45.874246 
50,010A517835,9,15,16,Cascade,Cascade,5.293,9.426802,45.874246,9.426761,45.874221 
51,010A517835,9,16,17,Cascade,Cascade,1.291,9.426761,45.874221,9.426767,45.874231 
52,010A517835,9,17,18,Cascade,Cascade,0.000,9.426767,45.874231,9.426767,45.874231 
53,010A517835,9,18,19,Cascade,Cascade,0.000,9.426767,45.874231,9.426767,45.874231 
54,010A517835,9,19,19,Cascade,Cascade,0.000,9.426767,45.874231,9.426767,45.874231 
55,010A5188F9,10,12,13,Cascade,Cascade,0.029,9.426810,45.874269,9.426810,45.874269 
56,010A5188F9,10,13,14,Cascade,Cascade,0.005,9.426810,45.874269,9.426810,45.874269 
