ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,460070E60C,1,0,1,Cascade,Cascade,0.000,9.426867,45.874276,9.426867,45.874276 
2,460070E60C,1,1,1,Cascade,Cascade,0.000,9.426867,45.874276,9.426867,45.874276 
3,47002D11D9,2,0,1,Banks,Banks,0.000,9.426870,45.874275,9.426870,45.874275 
4,47002D11D9,2,1,5,Banks,Cascade,23.437,9.426870,45.874275,9.426690,45.874161 
5,47002D11D9,2,5,7,Cascade,Bars_sedimentbuildupzones,31.280,9.426690,45.874161,9.426455,45.874002 
6,47002D11D9,2,7,8,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426455,45.874002,9.426455,45.874002 
7,47002D11D9,2,8,11,Bars_sedimentbuildupzones,Steep_poolzone,4.469,9.426455,45.874002,9.426484,45.873973 
8,47002D11D9,2,11,14,Steep_poolzone,Steep_poolzone,0.000,9.426484,45.873973,9.426484,45.873973 
9,47002D11D9,2,14,15,Steep_poolzone,Steep_poolzone,0.000,9.426484,45.873973,9.426484,45.873973 
10,47002D11D9,2,15,15,Steep_poolzone,Steep_poolzone,0.000,9.426484,45.873973,9.426484,45.873973 
11,47002D12A5,3,0,1,Cascade,Cascade,0.000,9.426868,45.874278,9.426868,45.874278 
12,47002D12A5,3,1,8,Cascade,Banks,0.444,9.426868,45.874278,9.426870,45.874275 
13,47002D12A5,3,8,8,Banks,Banks,0.000,9.426870,45.874275,9.426870,45.874275 
14,47002D384A,4,0,1,Cascade,Cascade,0.000,9.426870,45.874277,9.426870,45.874277 
15,47002D384A,4,1,5,Cascade,Cascade,0.000,9.426870,45.874277,9.426870,45.874277 
16,47002D384A,4,5,19,Cascade,Banks,0.248,9.426870,45.874277,9.426870,45.874275 
17,47002D384A,4,19,19,Banks,Banks,0.000,9.426870,45.874275,9.426870,45.874275 
18,47002D409A,5,0,1,Cascade,Cascade,0.000,9.426870,45.874281,9.426870,45.874281 
19,47002D409A,5,1,5,Cascade,Cascade,0.000,9.426870,45.874281,9.426870,45.874281 
20,47002D409A,5,5,6,Cascade,Cascade,0.000,9.426870,45.874281,9.426870,45.874281 
21,47002D409A,5,6,7,Cascade,Banks,3.033,9.426870,45.874281,9.426861,45.874255 
22,47002D409A,5,7,8,Banks,Banks,0.000,9.426861,45.874255,9.426861,45.874255 
23,47002D409A,5,8,11,Banks,Cascade,2.950,9.426861,45.874255,9.426835,45.874262 
24,47002D409A,5,11,13,Cascade,Cascade,1.124,9.426835,45.874262,9.426834,45.874252 
25,47002D409A,5,13,15,Cascade,Cascade,0.000,9.426834,45.874252,9.426834,45.874252 
26,47002D409A,5,15,16,Cascade,Cascade,0.000,9.426834,45.874252,9.426834,45.874252 
27,47002D409A,5,16,16,Cascade,Cascade,0.000,9.426834,45.874252,9.426834,45.874252 
